,Place_ID,Bar,Cafe,Restaurant
233,ChIJKQX4iYZZei4RhCBjuGoZ1BU,0,0,1
234,ChIJ2TtDk7RZei4ReYQCDlV3fFY,0,0,1
235,ChIJdTyDMeZZei4RlRet81pF5KY,0,0,1
236,ChIJx9SnEUtYei4RcwITP4p9v2s,0,0,1
237,ChIJ1SLyE7RZei4RLhcqh_8utMI,0,0,1
238,ChIJgbkslQNZei4R_Zohzj3lgVY,0,0,1
239,ChIJ236W0kdZei4R-ADtGTXSdO8,0,0,1
240,ChIJE--CcbhZei4Ra17zN6LULhY,0,0,1
241,ChIJIcrX5cxZei4RrDvVLOerqPc,0,0,1
242,ChIJfQyR15xZei4RMPyuMnYJ3P0,0,0,1
243,ChIJ4_nXAY5Zei4RPNQAM6QJrLM,0,1,1
244,ChIJ8Z8uOzRYei4RlcQtD0KXIAY,0,0,1
245,ChIJf9MAObRZei4RUew1n52hm94,0,0,1
246,ChIJ11o4okxYei4RSHW9Oy7Su1Y,0,0,1
247,ChIJ1d9wAUtYei4R-z0FAHihfvo,0,0,1
248,ChIJ39cqbEtYei4RHRGWQl2IbKM,0,0,1
249,ChIJPYtHhMJZei4RXDEAGoZZKts,0,0,1
250,ChIJ_YRyhLNZei4RnqbnfvoI_Z8,0,0,1
251,ChIJIanDDLZZei4R8Cz3HuFr3hk,0,0,1
252,ChIJn5jCRLZZei4RlBWsv3ZXN-0,0,0,1
253,ChIJb6MEM6hZei4R9FVMs3QGNq4,0,0,1
254,ChIJUeEE2slZei4Rlp-CGmwIaUc,0,0,1
255,ChIJv5qUWpxZei4Rkt7JK-UzdIw,0,0,1
256,ChIJn9RU77ZZei4RIa9uXw78Fes,0,0,1
257,ChIJZ845TMZZei4RT4Ca0IcGM74,0,0,1
258,ChIJX9wibbZZei4RCbm22UPvxFg,0,0,1
259,ChIJUxnXybdZei4RYosQ9jD-YRQ,0,0,1
260,ChIJXxTNiUNZei4RX1EpsVps6_w,0,0,1
261,ChIJR7oZAZRZei4R_AqFaJwTfpI,0,0,1
262,ChIJfTcweslZei4R0JNcx15gGzM,0,0,1
263,ChIJn12cwRNZei4R6Wws7uOX3NE,0,0,1
264,ChIJRbHAzMtZei4RgWEeKYXh6ro,0,0,1
265,ChIJ1cq3bLZZei4Rq_ULt8se8ag,0,0,1
266,ChIJewuuerZZei4RlFwBPKMKZ9M,0,0,1
267,ChIJu0zY0stZei4RfVGKoW1ZkS0,0,0,1
268,ChIJsaV9aslZei4RZPqZ1MSVUkw,0,0,1
269,ChIJWZsKtbdZei4RiDMKHAOWMCw,0,0,1
270,ChIJvzkLFQuqey4RzhqFCc_-fCI,0,0,1
271,ChIJjXrmGp8Aey4Rysm50gAKDdg,0,0,1
272,ChIJ_VfL2J8Aey4RMC_b5OZnjG8,0,0,1
273,ChIJndeKsp8Aey4RjFVuQj2EzLs,0,0,1
274,ChIJCcdssJ8Aey4RIucT-ey2X2M,0,0,1
275,ChIJCYzy7WcBey4RKnt_BoXHEBI,0,0,1
276,ChIJucj1dcoBey4RF5ElatIpyMI,0,0,1
277,ChIJU-h6RD8Bey4RPC-SO7WgdKM,0,0,1
278,ChIJF17y-p8Aey4ReSIFmqnc-Ro,0,0,1
279,ChIJT1rOTHWqey4RIS1Uae9RT6c,0,0,1
280,ChIJd3kWswqqey4R0A9CUjYljE0,0,0,1
281,ChIJIUVffToBey4RxBa785KpZww,0,0,1
282,ChIJO5DDVdmrey4RXbDmH2OTbKk,0,0,1
283,ChIJpx5iqMarey4R29ROHeHWtQ8,0,0,1
284,ChIJ-9eoTHWqey4RJijgMwhjRyA,0,0,1
285,ChIJKS7QtAqqey4Rb5tS63UASUM,0,0,1
286,ChIJo8q8PJkAey4Roz99qNY_ttA,0,0,1
287,ChIJaRi2c0mrey4RG1hIMZgdcKQ,0,0,1
288,ChIJ6wiRQ58Bey4RqV2n-R0nBwo,0,0,1
289,ChIJNdend-Jaei4R11NHh3TifEc,0,0,1
290,ChIJXw3E1B9bei4R2l_wqM70q9o,0,0,1
291,ChIJq5BpvY1bei4R7KGpQs62yYo,0,0,1
292,ChIJLx29Mx5bei4RJazU5dipgPI,0,0,1
293,ChIJyyUP0vJaei4RxZ4gRZNhOcI,0,0,1
294,ChIJV6WlVuBaei4R4LdQ306fWcQ,0,0,1
295,ChIJSZOSV-5aei4RP2iks11A8wc,0,0,1
296,ChIJv3EPWxZbei4R6tgug9i5sik,0,0,1
297,ChIJL7H7j2hbei4R_3QOQjy_DJ4,0,0,1
298,ChIJ-YsB5eJaei4R4u9P73I8J3E,0,0,1
299,ChIJSTAzC8xbei4RiFBZ429qFCI,0,0,1
300,ChIJobg3mC5bei4RHq5_NCkoJGg,0,0,1
301,ChIJ2VNmSORaei4RETYPISkVPdE,0,0,1
302,ChIJhb04heNbei4RJgohU1fNpWc,0,0,1
303,ChIJIYvZm-Zaei4RFFrMb4vComA,0,0,1
304,ChIJS75pfA1bei4Rimw0jQyvU6A,0,0,1
305,ChIJe1EgS61bei4RWRJ33gTF3zc,0,0,1
306,ChIJQ_-1P-daei4RY0zUxNIFlLU,0,0,1
307,ChIJAzr9i91aei4RNFASW7eHfnI,0,0,1
308,ChIJ9bs_E2Bbei4RGFSws7jwgxg,1,0,0
309,ChIJtckhKH9bei4RXcgaE15s-Aw,1,0,0
310,ChIJIUGoHhNbei4RBncoV5EdCGM,1,0,0
311,ChIJL0dCPbBbei4RW1xkLR2eF6c,1,0,0
312,ChIJNQFFAu5bei4ReH7Iy9XSKKw,1,0,0
313,ChIJ28WaB4Zbei4RHnvW9fVBL9U,1,0,0
314,ChIJS2ErzzNbei4R57aV-9XqHQI,1,0,0
315,ChIJ9ejkQcNbei4RegDpbjzzVRg,1,0,0
316,ChIJk3PtsMhbei4Rrw4dOQGrNYo,1,0,0
317,ChIJSQwX1GJRei4R_34D8-GBghk,1,0,0
318,ChIJRz1-F-BRei4RTuhaw0gy118,1,0,0
319,ChIJ-dg2e55bei4R2NFzQbFGu80,1,0,0
320,ChIJmScjDrJFei4RgfsVdAKkIAY,1,0,0
321,ChIJkarDbydRei4Rt23_nGFTQ_E,1,0,0
322,ChIJcZ0Ocvtbei4RA0oni-J1lJQ,1,0,0
323,ChIJXa1H0iZRei4RFCMGe6Cq1iQ,1,0,0
324,ChIJDfcdarBbei4RMIPfgVcJ_8U,1,0,0
325,ChIJGxiQHPVbei4Rfu4PSfH0SSo,1,0,0
326,ChIJbbKlBQdbei4RZHMyjwkJYGQ,1,0,0
327,ChIJ-S-FxAZbei4Rdf1ECy_-xNE,1,0,0
328,ChIJY6GDKL2rey4R-n_eG4iYQWM,1,0,0
329,ChIJJdrijK8Bey4RLJd-873sz5w,1,0,0
330,ChIJiVBSrs4Bey4R3RKWmbnwIao,1,0,0
331,ChIJV11G-y4Bey4RYQPKYY1gUOc,1,0,0
332,ChIJqTPFQnEBey4R9tR8vperQC0,1,0,0
333,ChIJwdzAGB0Bey4R3PGnSu5Kfjo,1,0,0
334,ChIJn6lUEjsBey4RF_q5xwJV-wA,1,0,0
335,ChIJzYawTdcBey4R4WoPUTs2xNU,1,0,0
336,ChIJeTmrspABey4RduuVLiRax84,1,0,0
337,ChIJ16DYWAsBey4RqS-UoUnoX6s,1,0,0
338,ChIJ6TZkt4EBey4RTSF7kRQtZww,1,0,0
339,ChIJK267UEYBey4RamHV9IVnTQ4,1,0,0
340,ChIJKfybfCerey4Rlo5RzghOieM,1,0,0
341,ChIJ8-oBu1UBey4R_xc3BLEjhfo,0,1,0
342,ChIJzRJJzqIBey4Rb_-C8fFfHKM,1,0,0
343,ChIJ60RrSfgBey4RnRYQWzCoEl8,1,0,0
344,ChIJw0odVxABey4RYYJqRXWWaD0,0,1,0
345,ChIJuT8N7kIBey4R0ABbRM91MtM,0,1,0
346,ChIJwdfv6VcBey4RYYB5P9NosvQ,1,0,0
347,ChIJ8-qojNEBey4RmgEnXPbw63o,0,1,0
348,ChIJQUqhIOhZei4RHW_sV3lUIms,1,0,0
349,ChIJd81Ktl5Zei4R54QV1DCbauA,1,0,0
350,ChIJXWuYlUZZei4Rkg5yarJjXp4,1,0,0
351,ChIJl3imDFRZei4RfuFCQvMBQ2U,1,0,0
352,ChIJAQP5ON5Zei4RKyH5Zu3y-E4,1,0,0
353,ChIJkxFrDHZZei4R3KwdLUfzSwI,1,0,0
354,ChIJl6tDx8dZei4RfA88ffLXnDc,1,0,1
355,ChIJ6cH-QttZei4RqYeB-SLOijo,1,0,0
356,ChIJ_d1vMLRZei4RqqiLlJteR38,1,0,0
357,ChIJx9si9MVZei4R7k80s8E6a3Q,1,0,0
358,ChIJY0ksac5Zei4RPbHv7M30PhM,1,0,0
359,ChIJjUI2c6FZei4RXPvloZqRxlw,1,0,0
360,ChIJm-Y01qpZei4RBbzEQdCI1js,1,0,0
361,ChIJHfSeNgNZei4RT3WiyG3HX_U,1,0,0
362,ChIJW3YBzrhZei4R1BDCDA3cHh8,1,0,0
363,ChIJrRdWW29Zei4RPhAl8ZjSWrA,1,0,0
364,ChIJNQpt3s1Zei4Rled2g7J-wNg,1,0,0
365,ChIJ7d_nCsBZei4R4nM70A44-UE,1,0,1
366,ChIJd76-x3pZei4RmOP4SiDA1sE,1,0,0
367,ChIJzXaqSjJYei4RYf7_5RITA9Y,1,0,0
368,ChIJAeuqm2FZei4RXqZWUJ0q8-E,1,0,0
369,ChIJxbpgRkhYei4Ri0J5gvxo4CE,1,0,0
370,ChIJ91iEjvhZei4R2_1_4IMeUz8,1,0,0
371,ChIJi3ZIy-BZei4RspLBMARAtPw,1,0,0
372,ChIJp4drRkhYei4RD0sGJEwVJLw,1,0,0
373,ChIJlUDN8zBYei4RQ1NeDlgcJu0,1,0,0
374,ChIJGeQIabpZei4Rnvaisu9UCYU,1,0,0
375,ChIJ51nfgEFZei4RJwcTMc5VXW4,1,0,0
376,ChIJbc2bgURYei4RAw8upAxTexE,1,0,1
377,ChIJwZuRJzJYei4R8E5x55dY6xs,1,0,0
378,ChIJz8NNJzpYei4R9Wh7rwSq9cY,1,0,1
379,ChIJi_28PCZZei4Rd2RjxWugI1U,1,0,0
380,ChIJcV4i2S9Zei4Rd4jlQhl4wxE,1,0,0
381,ChIJ-xzGzCNZei4RL3HQ031ZSTQ,1,0,0
382,ChIJHytZNZRZei4RRbqBOVA3qW8,1,0,0
383,ChIJK6gSTSZZei4RB6HyO0-oBQ0,1,0,0
384,ChIJX27m_aNZei4RWpf-xMwyb4Y,1,0,0
385,ChIJd7M66J1Zei4RVqoL_YKHkeg,1,0,0
386,ChIJG8e4JItZei4RAQzK2ekxR7E,1,0,0
387,ChIJa4xFOZNZei4RddSVY-39S8s,1,0,0
388,ChIJEe7JtIhZei4RPBfE4ZOuJJk,1,0,0
389,ChIJhzv4cOpZei4Rjwb_QkB36Do,1,0,0
390,ChIJzdIkjZxZei4RgAq0Zm4aqic,1,0,0
391,ChIJSfaHNt1Zei4RJP_H_U8UH-U,1,0,0
392,ChIJi9Qm7vFZei4RnsV1O-cof0Q,1,0,0
393,ChIJW3EnJZVZei4RzSCwIN529nM,1,0,0
394,ChIJswAgycJZei4RcK9qV-dm1uo,1,0,0
395,ChIJ51du8_JZei4Rew9VMC2ahw0,1,0,0
396,ChIJ67G__uHjei4RPv1RLQDmgrs,1,0,0
397,ChIJnZxtbwHkei4RPdBS_5QOaKE,1,0,0
398,ChIJERLaFYvjei4RLLokgrg7kH8,1,0,0
399,ChIJ9WRgXEnlei4RPwu6gLY7CU8,1,0,0
400,ChIJIYxNkC7lei4RbHiHGxHTtrE,1,0,0
